County,2013 Per Capita Personal Income,2014 Per Capita Personal Income,2015 Per Capita Personal Income,2016 Per Capita Personal Income,2017 Per Capita Personal Income,2018 Per Capita Personal Income,2019 Per Capita Personal Income,2020 Per Capita Personal Income,2021 Per Capita Personal Income,2022 Per Capita Personal Income,2022 Rank,2022 Per Capita Income as a Percent of Georgia Total,2022 Per Capita Income as a Percent of Southeast Total,2022 Per Capita Income as a Percent of U.S. Total,"2021-2022 Per Capita Income, Percent Change","2013-2022 Per Capita Income, Percent Change",2013-2022 Rank,"2022 Per Capita Net Earnings, Dollars","2022 Per Capita Dividends, Interest, and Rent, Dollars"
CHATTAHOOCHEE,"$27,838","$28,266","$30,536","$32,210","$33,895","$32,352","$31,786","$34,644","$38,530","$36,305",146,64.2%,61.8%,55.5%,-5.8%,30.4%,153,"$17,302","$12,967"
CHATTOOGA,"$26,120","$26,926","$27,891","$28,038","$29,514","$30,169","$31,077","$33,447","$36,991","$37,055",137,65.5%,63.0%,56.6%,0.2%,41.9%,100,"$18,860","$4,029"
CHEROKEE,"$41,285","$43,224","$46,018","$48,357","$49,713","$51,282","$53,574","$57,355","$63,168","$66,230",7,117.0%,112.7%,101.2%,4.8%,60.4%,13,"$46,851","$10,367"
CLARKE,"$27,185","$28,863","$30,043","$31,008","$31,887","$33,046","$34,865","$37,715","$40,910","$40,970",107,72.4%,69.7%,62.6%,0.1%,50.7%,50,"$23,228","$9,149"
CLAY,"$27,513","$26,114","$28,233","$30,051","$30,883","$32,511","$33,440","$39,165","$39,388","$36,851",139,65.1%,62.7%,56.3%,-6.4%,33.9%,142,"$15,250","$5,264"
CLAYTON,"$24,343","$25,133","$25,775","$26,135","$26,322","$26,983","$28,074","$31,757","$34,575","$32,831",154,58.0%,55.9%,50.1%,-5.0%,34.9%,139,"$19,422","$3,811"
CLINCH,"$30,158","$31,447","$33,185","$34,135","$34,809","$35,782","$37,853","$41,018","$41,910","$41,712",95,73.7%,71.0%,63.7%,-0.5%,38.3%,126,"$23,034","$3,819"
COBB,"$45,370","$48,034","$50,014","$51,713","$55,137","$57,447","$59,653","$62,551","$68,273","$69,932",6,123.6%,119.0%,106.8%,2.4%,54.1%,30,"$48,337","$13,106"
COFFEE,"$26,786","$28,099","$29,226","$29,296","$31,161","$31,804","$32,704","$35,602","$40,811","$38,972",126,68.9%,66.3%,59.5%,-4.5%,45.5%,77,"$22,616","$4,652"
COLQUITT,"$26,829","$27,078","$29,476","$29,857","$31,960","$32,490","$33,671","$37,726","$41,085","$41,164",103,72.7%,70.0%,62.9%,0.2%,53.4%,32,"$22,356","$5,437"
COLUMBIA,"$43,112","$44,899","$46,501","$47,716","$48,800","$50,406","$52,471","$55,580","$58,773","$58,889",14,104.1%,100.2%,89.9%,0.2%,36.6%,133,"$38,449","$9,819"
COOK,"$27,933","$27,857","$29,628","$29,841","$30,866","$32,271","$33,356","$36,499","$39,968","$38,956",127,68.8%,66.3%,59.5%,-2.5%,39.5%,118,"$20,831","$5,067"
COWETA,"$38,575","$40,356","$42,091","$44,189","$45,969","$48,226","$50,284","$53,350","$57,721","$59,967",13,106.0%,102.0%,91.6%,3.9%,55.5%,28,"$41,157","$9,207"
CRAWFORD,"$28,871","$29,948","$31,776","$31,937","$33,640","$34,140","$34,642","$37,331","$40,216","$40,218",113,71.1%,68.4%,61.4%,0.0%,39.3%,119,"$23,479","$5,169"
CRISP,"$27,202","$28,280","$30,188","$31,311","$33,420","$34,608","$37,162","$41,968","$45,832","$44,582",63,78.8%,75.9%,68.1%,-2.7%,63.9%,9,"$23,221","$6,178"
DADE,"$28,545","$29,642","$31,735","$31,568","$33,350","$35,257","$35,063","$37,930","$40,794","$41,920",94,74.1%,71.3%,64.0%,2.8%,46.9%,68,"$23,694","$6,217"
DAWSON,"$35,446","$37,236","$39,778","$42,579","$43,878","$45,767","$48,453","$51,885","$57,898","$61,067",9,107.9%,103.9%,93.3%,5.5%,72.3%,5,"$40,479","$9,739"
DECATUR,"$30,233","$29,502","$30,597","$31,059","$31,292","$32,799","$33,967","$37,647","$42,311","$41,224",102,72.8%,70.1%,63.0%,-2.6%,36.4%,135,"$22,441","$5,968"
DEKALB,"$39,353","$41,613","$44,121","$45,269","$48,721","$51,287","$52,624","$55,996","$62,588","$62,632",8,110.7%,106.6%,95.7%,0.1%,59.2%,15,"$40,811","$12,303"
DODGE,"$26,413","$27,127","$27,909","$28,642","$30,017","$30,692","$31,860","$34,673","$37,790","$36,210",147,64.0%,61.6%,55.3%,-4.2%,37.1%,131,"$17,727","$4,854"
DOOLY,"$24,373","$24,469","$27,786","$30,766","$33,217","$34,061","$37,946","$40,575","$44,318","$44,793",59,79.2%,76.2%,68.4%,1.1%,83.8%,1,"$24,416","$5,547"
DOUGHERTY,"$30,531","$31,696","$32,490","$33,059","$33,692","$34,395","$36,363","$40,963","$46,317","$44,681",61,79.0%,76.0%,68.2%,-3.5%,46.3%,71,"$21,716","$7,359"
DOUGLAS,"$30,953","$31,985","$32,962","$33,794","$34,697","$35,921","$37,190","$40,654","$43,855","$43,652",73,77.1%,74.3%,66.7%,-0.5%,41.0%,105,"$28,236","$5,407"
EARLY,"$31,882","$31,199","$32,520","$33,214","$33,353","$33,898","$37,261","$40,613","$43,753","$42,119",90,74.4%,71.7%,64.3%,-3.7%,32.1%,148,"$21,767","$5,177"
ECHOLS,"$24,514","$25,210","$26,487","$26,021","$28,494","$29,814","$29,758","$33,421","$34,042","$32,683",155,57.8%,55.6%,49.9%,-4.0%,33.3%,143,"$20,682","$3,617"
EFFINGHAM,"$35,483","$36,792","$38,021","$38,885","$40,675","$41,982","$42,057","$44,578","$48,134","$48,223",35,85.2%,82.0%,73.7%,0.2%,35.9%,136,"$34,553","$4,501"
ELBERT,"$29,837","$31,066","$32,113","$32,793","$34,374","$35,056","$35,181","$38,764","$41,816","$42,537",83,75.2%,72.4%,65.0%,1.7%,42.6%,94,"$20,525","$7,098"
EMANUEL,"$28,048","$28,331","$29,255","$29,658","$31,618","$31,409","$33,230","$37,954","$39,913","$39,039",125,69.0%,66.4%,59.6%,-2.2%,39.2%,120,"$20,276","$4,652"
EVANS,"$29,034","$30,402","$32,035","$32,264","$32,831","$33,272","$33,702","$36,944","$40,397","$40,564",111,71.7%,69.0%,62.0%,0.4%,39.7%,117,"$22,847","$5,003"
FANNIN,"$28,538","$30,535","$32,458","$33,683","$36,029","$37,672","$40,184","$42,947","$48,239","$49,594",32,87.6%,84.4%,75.8%,2.8%,73.8%,4,"$21,929","$11,281"
FAYETTE,"$49,915","$52,521","$55,066","$57,696","$60,008","$64,030","$64,965","$68,059","$72,745","$75,294",5,133.1%,128.1%,115.0%,3.5%,50.8%,48,"$48,889","$15,609"
FLOYD,"$31,802","$33,374","$34,748","$35,514","$36,165","$37,439","$38,728","$40,944","$44,304","$44,126",67,78.0%,75.1%,67.4%,-0.4%,38.8%,121,"$24,311","$6,740"
FORSYTH,"$52,719","$55,024","$58,861","$60,477","$61,424","$62,660","$65,841","$69,446","$74,888","$79,382",3,140.3%,135.1%,121.2%,6.0%,50.6%,51,"$60,643","$12,481"
FRANKLIN,"$30,355","$32,184","$35,115","$33,923","$35,236","$35,728","$35,370","$35,942","$40,700","$44,078",68,77.9%,75.0%,67.3%,8.3%,45.2%,81,"$25,729","$5,662"
FULTON,"$63,333","$70,263","$73,978","$77,349","$83,377","$87,609","$93,307","$92,999","$101,688","$100,614",1,177.8%,171.2%,153.7%,-1.1%,58.9%,17,"$63,971","$27,878"
GILMER,"$29,609","$31,576","$33,129","$32,978","$34,525","$35,678","$36,854","$38,423","$43,216","$45,291",53,80.0%,77.1%,69.2%,4.8%,53.0%,34,"$22,243","$8,833"
GLASCOCK,"$28,437","$29,734","$31,186","$32,827","$33,085","$33,924","$35,421","$38,951","$40,287","$39,345",124,69.5%,66.9%,60.1%,-2.3%,38.4%,125,"$21,688","$4,454"
GLYNN,"$37,916","$39,483","$41,386","$41,822","$44,105","$46,786","$47,888","$52,711","$58,513","$60,033",12,106.1%,102.1%,91.7%,2.6%,58.3%,20,"$29,092","$17,909"
GORDON,"$29,769","$31,155","$32,589","$32,777","$36,054","$35,220","$36,423","$38,340","$42,973","$44,793",58,79.2%,76.2%,68.4%,4.2%,50.5%,52,"$28,665","$5,201"
GRADY,"$28,167","$27,679","$29,300","$29,507","$30,564","$30,929","$31,894","$35,506","$39,012","$38,487",129,68.0%,65.5%,58.8%,-1.3%,36.6%,132,"$21,751","$5,248"
GREENE,"$41,852","$44,677","$48,128","$50,384","$54,383","$58,687","$60,774","$64,295","$74,348","$75,927",4,134.2%,129.2%,116.0%,2.1%,81.4%,2,"$25,906","$34,283"
GWINNETT,"$34,919","$36,350","$37,903","$38,541","$39,650","$41,191","$42,779","$45,934","$50,121","$50,866",28,89.9%,86.5%,77.7%,1.5%,45.7%,75,"$35,882","$7,273"
HABERSHAM,"$28,969","$30,287","$31,109","$31,801","$32,833","$33,989","$34,885","$36,900","$39,411","$40,155",115,71.0%,68.3%,61.3%,1.9%,38.6%,123,"$22,359","$6,420"
HALL,"$34,552","$36,548","$39,185","$40,379","$42,741","$45,109","$46,326","$50,009","$55,175","$57,416",17,101.5%,97.7%,87.7%,4.1%,66.2%,7,"$37,490","$9,951"
HANCOCK,"$23,310","$25,028","$25,942","$26,457","$27,664","$29,406","$30,682","$32,954","$34,989","$35,521",149,62.8%,60.4%,54.3%,1.5%,52.4%,39,"$15,317","$4,654"
HARALSON,"$29,946","$31,417","$32,968","$34,103","$35,192","$36,521","$38,099","$40,931","$44,439","$45,136",55,79.8%,76.8%,68.9%,1.6%,50.7%,49,"$27,648","$4,841"
HARRIS,"$40,350","$41,635","$43,438","$44,928","$46,331","$48,610","$49,930","$52,912","$57,086","$58,675",15,103.7%,99.8%,89.6%,2.8%,45.4%,80,"$36,846","$10,563"
HART,"$30,981","$32,830","$34,275","$34,224","$36,458","$38,221","$39,081","$41,239","$44,058","$45,862",51,81.0%,78.0%,70.1%,4.1%,48.0%,66,"$24,402","$8,174"
HEARD,"$26,685","$28,297","$29,201","$30,142","$31,327","$32,449","$34,135","$36,454","$40,731","$41,968",92,74.2%,71.4%,64.1%,3.0%,57.3%,25,"$25,287","$4,268"
HENRY,"$33,377","$34,275","$35,864","$36,968","$37,818","$39,036","$39,762","$42,920","$46,657","$46,921",45,82.9%,79.8%,71.7%,0.6%,40.6%,110,"$31,185","$6,045"
HOUSTON,"$36,695","$37,706","$39,153","$39,444","$40,565","$41,682","$42,885","$45,424","$49,215","$48,082",37,85.0%,81.8%,73.4%,-2.3%,31.0%,152,"$28,923","$8,187"
IRWIN,"$28,028","$28,308","$30,673","$30,261","$31,169","$32,182","$34,367","$37,537","$42,407","$42,351",85,74.8%,72.1%,64.7%,-0.1%,51.1%,47,"$22,825","$6,136"
JACKSON,"$33,277","$34,562","$36,455","$39,400","$40,982","$42,791","$44,008","$47,450","$51,967","$54,880",19,97.0%,93.4%,83.8%,5.6%,64.9%,8,"$38,120","$6,021"
JASPER,"$30,132","$32,291","$33,418","$35,138","$38,630","$37,062","$39,466","$43,856","$46,114","$47,429",41,83.8%,80.7%,72.4%,2.9%,57.4%,24,"$29,516","$6,386"
JEFF DAVIS,"$27,972","$28,789","$28,998","$28,550","$28,718","$30,239","$31,947","$35,062","$37,473","$36,710",142,64.9%,62.5%,56.1%,-2.0%,31.2%,151,"$20,437","$4,067"
JEFFERSON,"$27,734","$28,024","$29,058","$30,447","$32,079","$32,088","$33,801","$38,486","$42,752","$41,525",100,73.4%,70.7%,63.4%,-2.9%,49.7%,57,"$19,714","$5,973"
JENKINS,"$25,372","$26,053","$27,488","$28,166","$28,691","$29,223","$31,226","$35,372","$37,132","$36,807",140,65.0%,62.6%,56.2%,-0.9%,45.1%,82,"$18,466","$4,566"
JOHNSON,"$22,228","$23,094","$23,676","$24,519","$25,087","$25,869","$27,495","$31,063","$34,010","$31,721",156,56.1%,54.0%,48.5%,-6.7%,42.7%,93,"$14,267","$3,424"
JONES,"$32,235","$33,019","$34,876","$35,172","$36,576","$37,425","$38,448","$40,731","$44,451","$43,191",78,76.3%,73.5%,66.0%,-2.8%,34.0%,141,"$26,318","$6,263"
LAMAR,"$28,915","$29,441","$30,788","$31,512","$32,877","$34,044","$35,744","$38,930","$43,371","$43,734",72,77.3%,74.4%,66.8%,0.8%,51.3%,46,"$26,747","$4,560"
LANIER,"$23,357","$24,739","$25,760","$26,118","$27,686","$29,248","$30,671","$33,315","$35,444","$33,834",152,59.8%,57.6%,51.7%,-4.5%,44.9%,84,"$18,699","$3,575"
LAURENS,"$30,342","$31,144","$32,489","$33,806","$34,703","$36,143","$36,838","$40,071","$43,821","$42,791",82,75.6%,72.8%,65.4%,-2.3%,41.0%,104,"$23,238","$5,914"
LEE,"$38,782","$39,826","$40,524","$40,975","$42,205","$42,877","$43,638","$46,904","$51,314","$52,032",25,91.9%,88.5%,79.5%,1.4%,34.2%,140,"$36,667","$5,568"
LIBERTY,"$30,518","$30,647","$32,445","$32,433","$33,549","$35,568","$35,280","$37,957","$40,692","$39,543",121,69.9%,67.3%,60.4%,-2.8%,29.6%,156,"$21,899","$6,651"
LINCOLN,"$31,062","$32,192","$34,345","$35,098","$36,563","$37,396","$40,420","$45,093","$47,353","$46,470",47,82.1%,79.1%,71.0%,-1.9%,49.6%,58,"$25,270","$6,459"
LONG,"$30,782","$30,216","$30,542","$29,954","$31,136","$32,418","$33,586","$36,305","$40,090","$39,887",118,70.5%,67.9%,60.9%,-0.5%,29.6%,155,"$24,593","$4,712"
LOWNDES,"$31,199","$32,401","$33,529","$34,449","$35,453","$36,831","$37,727","$41,402","$44,477","$43,907",70,77.6%,74.7%,67.1%,-1.3%,40.7%,108,"$24,790","$7,623"
LUMPKIN,"$30,936","$32,268","$34,489","$35,496","$36,471","$38,435","$39,619","$41,703","$47,783","$47,019",43,83.1%,80.0%,71.8%,-1.6%,52.0%,43,"$26,967","$8,641"
MACON,"$27,439","$29,318","$30,413","$29,684","$32,004","$30,870","$33,035","$36,073","$39,600","$43,120",79,76.2%,73.4%,65.9%,8.9%,57.1%,26,"$25,223","$5,111"
MADISON,"$31,387","$32,312","$34,301","$34,501","$36,183","$36,966","$38,376","$39,779","$43,702","$46,486",46,82.1%,79.1%,71.0%,6.4%,48.1%,65,"$28,918","$5,913"
MARION,"$25,328","$25,822","$27,439","$28,195","$30,030","$31,953","$32,706","$35,876","$38,321","$38,071",133,67.3%,64.8%,58.2%,-0.7%,50.3%,54,"$18,819","$5,601"
MCDUFFIE,"$29,929","$30,829","$32,288","$33,011","$34,418","$35,050","$37,358","$40,851","$43,733","$42,460",84,75.0%,72.2%,64.9%,-2.9%,41.9%,98,"$22,771","$5,396"
MCINTOSH,"$27,403","$29,106","$31,724","$33,656","$35,484","$38,544","$39,985","$44,612","$47,733","$47,623",39,84.2%,81.0%,72.7%,-0.2%,73.8%,3,"$22,053","$10,032"
MERIWETHER,"$28,842","$30,495","$31,251","$32,546","$33,503","$34,963","$36,760","$40,598","$44,167","$43,980",69,77.7%,74.8%,67.2%,-0.4%,52.5%,37,"$23,335","$6,052"
MILLER,"$33,988","$33,902","$35,760","$35,916","$37,803","$41,660","$44,684","$47,693","$52,357","$51,093",27,90.3%,86.9%,78.0%,-2.4%,50.3%,53,"$27,415","$7,401"
MITCHELL,"$29,079","$29,712","$32,570","$32,359","$33,802","$33,757","$36,115","$41,465","$43,784","$44,143",66,78.0%,75.1%,67.4%,0.8%,51.8%,44,"$24,218","$5,840"
MONROE,"$37,040","$38,998","$41,027","$41,474","$42,855","$44,493","$46,246","$48,798","$53,965","$54,195",21,95.8%,92.2%,82.8%,0.4%,46.3%,72,"$34,463","$8,943"
MONTGOMERY,"$26,487","$26,811","$29,180","$29,841","$30,008","$30,156","$30,982","$35,668","$38,210","$37,167",136,65.7%,63.2%,56.8%,-2.7%,40.3%,112,"$22,193","$4,213"
MORGAN,"$37,650","$40,254","$42,759","$44,047","$47,376","$49,280","$50,919","$53,448","$58,058","$60,452",11,106.8%,102.9%,92.3%,4.1%,60.6%,12,"$36,007","$12,213"
MURRAY,"$25,542","$26,680","$27,522","$28,179","$29,359","$30,348","$31,233","$33,208","$37,075","$37,457",135,66.2%,63.7%,57.2%,1.0%,46.6%,69,"$22,540","$3,761"
MUSCOGEE,"$34,996","$36,142","$38,013","$38,768","$39,997","$41,052","$41,457","$44,073","$48,080","$48,049",38,84.9%,81.8%,73.4%,-0.1%,37.3%,128,"$23,114","$11,671"
NEWTON,"$29,127","$29,794","$31,186","$31,958","$32,798","$33,978","$34,978","$38,876","$41,815","$41,639",98,73.6%,70.8%,63.6%,-0.4%,43.0%,90,"$26,014","$5,029"
OCONEE,"$49,640","$53,911","$57,954","$58,554","$62,547","$64,653","$66,306","$71,183","$76,252","$79,902",2,141.2%,135.9%,122.0%,4.8%,61.0%,10,"$52,781","$18,688"
OGLETHORPE,"$32,324","$34,685","$35,400","$35,591","$37,246","$37,387","$38,466","$40,391","$44,545","$47,054",42,83.1%,80.1%,71.9%,5.6%,45.6%,76,"$29,316","$6,678"
PAULDING,"$31,237","$32,689","$34,647","$36,054","$37,389","$38,803","$40,393","$43,299","$46,884","$48,143",36,85.1%,81.9%,73.5%,2.7%,54.1%,31,"$34,768","$5,703"
PEACH,"$31,280","$32,621","$34,444","$35,152","$36,846","$36,636","$38,258","$41,448","$44,734","$43,892",71,77.6%,74.7%,67.0%,-1.9%,40.3%,113,"$22,632","$7,113"
PICKENS,"$38,476","$39,697","$41,857","$44,304","$45,941","$47,042","$49,075","$52,304","$58,572","$60,616",10,107.1%,103.1%,92.6%,3.5%,57.5%,23,"$35,286","$11,216"
PIERCE,"$29,522","$30,230","$32,146","$33,337","$34,695","$35,208","$36,836","$40,089","$41,747","$41,663",97,73.6%,70.9%,63.6%,-0.2%,41.1%,103,"$22,815","$5,439"
PIKE,"$31,945","$33,462","$35,003","$37,597","$38,501","$40,257","$42,169","$45,095","$49,130","$50,712",29,89.6%,86.3%,77.5%,3.2%,58.8%,19,"$34,534","$5,866"
POLK,"$26,738","$28,146","$29,454","$30,580","$30,839","$32,064","$33,339","$36,460","$39,300","$39,642",120,70.1%,67.4%,60.5%,0.9%,48.3%,64,"$22,631","$3,834"
PULASKI,"$26,867","$27,388","$29,155","$30,451","$32,659","$34,019","$34,956","$37,981","$42,590","$40,998",106,72.4%,69.8%,62.6%,-3.7%,52.6%,36,"$19,988","$7,798"
PUTNAM,"$34,294","$36,274","$37,675","$39,122","$41,238","$44,100","$45,116","$49,113","$53,678","$54,458",20,96.2%,92.7%,83.2%,1.5%,58.8%,18,"$27,570","$13,176"
QUITMAN,"$26,079","$26,681","$27,794","$27,966","$28,931","$31,280","$32,636","$39,618","$37,213","$36,631",143,64.7%,62.3%,56.0%,-1.6%,40.5%,111,"$15,243","$3,809"
RABUN,"$32,703","$34,198","$36,691","$39,107","$41,003","$41,032","$42,801","$45,591","$52,091","$52,393",24,92.6%,89.1%,80.0%,0.6%,60.2%,14,"$18,728","$18,293"
RANDOLPH,"$29,019","$27,294","$29,319","$29,726","$31,615","$32,912","$35,538","$40,796","$43,575","$41,988",91,74.2%,71.4%,64.1%,-3.6%,44.7%,85,"$19,762","$5,279"
RICHMOND,"$30,825","$31,944","$33,611","$33,814","$35,364","$36,387","$37,625","$41,139","$43,706","$42,289",88,74.7%,72.0%,64.6%,-3.2%,37.2%,130,"$21,948","$7,158"
ROCKDALE,"$30,211","$31,206","$32,428","$32,937","$33,242","$34,152","$35,475","$38,989","$41,988","$41,230",101,72.9%,70.2%,63.0%,-1.8%,36.5%,134,"$24,688","$5,653"
SCHLEY,"$27,457","$29,200","$31,272","$31,095","$33,021","$35,546","$36,437","$40,815","$43,260","$43,455",77,76.8%,73.9%,66.4%,0.4%,58.3%,21,"$27,935","$4,433"
SCREVEN,"$29,083","$29,340","$30,199","$31,157","$32,567","$33,437","$34,375","$37,679","$40,782","$39,929",117,70.6%,67.9%,61.0%,-2.1%,37.3%,129,"$19,535","$5,716"
SEMINOLE,"$38,599","$37,769","$36,995","$36,519","$37,070","$37,068","$40,875","$45,167","$47,608","$46,167",50,81.6%,78.5%,70.5%,-3.0%,19.6%,159,"$24,586","$6,189"
SPALDING,"$29,484","$30,425","$31,625","$32,695","$33,024","$34,078","$35,717","$38,420","$42,951","$41,959",93,74.1%,71.4%,64.1%,-2.3%,42.3%,96,"$22,747","$5,784"
STEPHENS,"$31,391","$33,925","$35,740","$34,688","$35,871","$35,927","$36,224","$39,309","$43,679","$44,891",57,79.3%,76.4%,68.6%,2.8%,43.0%,89,"$22,994","$7,069"
STEWART,"$23,882","$23,001","$23,199","$23,892","$24,692","$26,179","$27,813","$30,574","$33,130","$35,666",148,63.0%,60.7%,54.5%,7.7%,49.3%,60,"$17,235","$3,719"
SUMTER,"$29,981","$31,084","$32,076","$32,727","$34,521","$34,745","$36,771","$40,077","$43,580","$42,832",81,75.7%,72.9%,65.4%,-1.7%,42.9%,91,"$21,367","$6,807"
TALBOT,"$29,607","$30,549","$31,514","$33,903","$35,724","$35,650","$37,832","$43,391","$46,201","$46,351",48,81.9%,78.9%,70.8%,0.3%,56.6%,27,"$22,044","$5,815"
TALIAFERRO,"$28,541","$31,013","$32,484","$30,694","$32,764","$32,828","$38,006","$38,125","$40,684","$43,649",74,77.1%,74.3%,66.7%,7.3%,52.9%,35,"$24,141","$5,004"
TATTNALL,"$25,797","$27,174","$29,241","$28,611","$30,505","$30,461","$31,271","$31,015","$34,632","$36,710",141,64.9%,62.5%,56.1%,6.0%,42.3%,97,"$21,206","$4,345"
TAYLOR,"$26,198","$26,098","$27,402","$31,176","$29,660","$31,212","$33,107","$35,174","$39,674","$38,099",132,67.3%,64.8%,58.2%,-4.0%,45.4%,78,"$17,704","$5,790"
TELFAIR,"$18,936","$20,430","$21,603","$23,057","$24,006","$24,758","$25,482","$27,953","$30,222","$28,393",158,50.2%,48.3%,43.4%,-6.1%,49.9%,55,"$12,115","$3,760"
TERRELL,"$35,874","$36,061","$34,159","$35,024","$35,445","$36,540","$39,245","$42,725","$46,819","$45,283",54,80.0%,77.0%,69.2%,-3.3%,26.2%,158,"$22,329","$7,029"
