Diagnosed Diabetes; Crude; Number; Adults Aged 20+ Years; Georgia Counties; 2015
Data downloaded on 15-February-2025
County,State,CountyFIPS,Number,Lower Limit, Upper Limit
Liberty County,Georgia,13179,3130,2072,4768
Lincoln County,Georgia,13181,610,363,929
Long County,Georgia,13183,813,477,1202
Lowndes County,Georgia,13185,8841,6385,11577
Lumpkin County,Georgia,13187,2071,1315,3040
Macon County,Georgia,13193,1185,760,1694
Madison County,Georgia,13195,1964,1195,2919
Marion County,Georgia,13197,721,442,1069
Mcduffie County,Georgia,13189,1584,1011,2345
Mcintosh County,Georgia,13191,1166,686,1733
Meriwether County,Georgia,13199,1710,1024,2556
Miller County,Georgia,13201,394,228,627
Mitchell County,Georgia,13205,1878,1192,2673
Monroe County,Georgia,13207,2047,1308,3014
Montgomery County,Georgia,13209,560,345,846
Morgan County,Georgia,13211,1219,718,1858
Murray County,Georgia,13213,3415,2159,4886
Muscogee County,Georgia,13215,18344,14115,22661
Newton County,Georgia,13217,7506,4878,10415
Oconee County,Georgia,13219,1733,1093,2593
Oglethorpe County,Georgia,13221,1087,683,1559
Paulding County,Georgia,13223,9848,6488,14042
Peach County,Georgia,13225,1884,1193,2693
Pickens County,Georgia,13227,2453,1633,3595
Pierce County,Georgia,13229,1354,809,2174
Pike County,Georgia,13231,1000,592,1557
Polk County,Georgia,13233,2416,1427,3711
Pulaski County,Georgia,13235,884,565,1254
Putnam County,Georgia,13237,1646,1044,2392
Quitman County,Georgia,13239,207,125,321
Rabun County,Georgia,13241,1546,1004,2260
Randolph County,Georgia,13243,563,345,856
Richmond County,Georgia,13245,20537,15872,25980
Rockdale County,Georgia,13247,6388,4099,9052
Schley County,Georgia,13249,305,180,470
Screven County,Georgia,13251,1093,670,1599
Seminole County,Georgia,13253,620,370,958
Spalding County,Georgia,13255,5028,3277,7206
Stephens County,Georgia,13257,1669,1045,2582
Stewart County,Georgia,13259,407,231,624
Sumter County,Georgia,13261,2386,1479,3429
Talbot County,Georgia,13263,568,354,842
Taliaferro County,Georgia,13265,139,83,218
Tattnall County,Georgia,13267,1842,1187,2790
Taylor County,Georgia,13269,622,353,932
Telfair County,Georgia,13271,1123,709,1623
Terrell County,Georgia,13273,626,386,974
Thomas County,Georgia,13275,3490,2349,4931
Tift County,Georgia,13277,2865,1822,4047
Toombs County,Georgia,13279,1817,1107,2721
Towns County,Georgia,13281,844,513,1358
Treutlen County,Georgia,13283,417,250,636
Troup County,Georgia,13285,4533,2864,6456
Turner County,Georgia,13287,554,340,814
Twiggs County,Georgia,13289,661,407,966
Union County,Georgia,13291,2360,1485,3515
Upson County,Georgia,13293,1914,1174,2882
Walker County,Georgia,13295,6857,4817,9131
Walton County,Georgia,13297,5431,3460,7847
Ware County,Georgia,13299,2743,1773,3862
Warren County,Georgia,13301,434,265,706
Washington County,Georgia,13303,1406,831,2205
Wayne County,Georgia,13305,2185,1410,3096
Webster County,Georgia,13307,205,125,311
Wheeler County,Georgia,13309,526,333,779
White County,Georgia,13311,2058,1319,3041
Whitfield County,Georgia,13313,7412,5359,9990
Wilcox County,Georgia,13315,589,346,899
Wilkes County,Georgia,13317,826,500,1256
Wilkinson County,Georgia,13319,690,395,1022
Worth County,Georgia,13321,1648,1003,2344
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
