Diagnosed Diabetes; Crude; Number; Adults Aged 20+ Years; Georgia Counties; 2020
Data downloaded on 15-February-2025
County,State,CountyFIPS,Number,Lower Limit, Upper Limit
Meriwether County,Georgia,13199,1975,1255,2856
Miller County,Georgia,13201,417,251,623
Mitchell County,Georgia,13205,1664,1050,2434
Monroe County,Georgia,13207,2308,1480,3288
Montgomery County,Georgia,13209,648,406,972
Morgan County,Georgia,13211,1622,995,2477
Murray County,Georgia,13213,3737,2691,4990
Muscogee County,Georgia,13215,17668,14304,21502
Newton County,Georgia,13217,9221,6150,12562
Oconee County,Georgia,13219,2672,1739,3863
Oglethorpe County,Georgia,13221,1107,654,1639
Paulding County,Georgia,13223,14182,10205,19135
Peach County,Georgia,13225,2292,1484,3306
Pickens County,Georgia,13227,3263,2202,4483
Pierce County,Georgia,13229,1889,1164,2736
Pike County,Georgia,13231,1613,1013,2441
Polk County,Georgia,13233,3972,2702,5680
Pulaski County,Georgia,13235,1267,832,1804
Putnam County,Georgia,13237,1726,1108,2574
Quitman County,Georgia,13239,211,127,319
Rabun County,Georgia,13241,1637,1011,2418
Randolph County,Georgia,13243,593,368,850
Richmond County,Georgia,13245,23281,18214,28652
Rockdale County,Georgia,13247,6677,4073,9977
Schley County,Georgia,13249,355,201,553
Screven County,Georgia,13251,1127,714,1672
Seminole County,Georgia,13253,729,440,1092
Spalding County,Georgia,13255,4731,3041,6847
Stephens County,Georgia,13257,2101,1261,2983
Stewart County,Georgia,13259,449,251,720
Sumter County,Georgia,13261,3094,2114,4152
Talbot County,Georgia,13263,537,325,848
Taliaferro County,Georgia,13265,143,82,221
Tattnall County,Georgia,13267,1882,1139,2766
Taylor County,Georgia,13269,788,515,1172
Telfair County,Georgia,13271,1887,1315,2636
Terrell County,Georgia,13273,630,383,939
Thomas County,Georgia,13275,4049,2820,5558
Tift County,Georgia,13277,4125,3034,5363
Toombs County,Georgia,13279,1810,1147,2704
Towns County,Georgia,13281,1143,686,1706
Treutlen County,Georgia,13283,584,367,828
Troup County,Georgia,13285,5667,3967,7659
Turner County,Georgia,13287,709,431,1069
Twiggs County,Georgia,13289,719,444,1102
Union County,Georgia,13291,1882,1173,2819
Upson County,Georgia,13293,2085,1304,3080
Walker County,Georgia,13295,6686,4540,9177
Walton County,Georgia,13297,7107,4997,9532
Ware County,Georgia,13299,3217,2185,4496
Warren County,Georgia,13301,490,299,746
Washington County,Georgia,13303,1897,1253,2696
Wayne County,Georgia,13305,2704,1789,3723
Webster County,Georgia,13307,209,132,327
Wheeler County,Georgia,13309,553,354,858
White County,Georgia,13311,2425,1490,3581
Whitfield County,Georgia,13313,9918,7508,12618
Wilcox County,Georgia,13315,647,393,982
Wilkes County,Georgia,13317,1020,642,1421
Wilkinson County,Georgia,13319,716,439,1072
Worth County,Georgia,13321,1916,1230,2725
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
