Diagnosed Diabetes; Crude; Number; Adults Aged 20+ Years; Georgia Counties; 2013
Data downloaded on 15-February-2025
County,State,CountyFIPS,Number,Lower Limit, Upper Limit
Polk County,Georgia,13233,2571,1698,3671
Pulaski County,Georgia,13235,933,598,1352
Putnam County,Georgia,13237,1721,1099,2447
Quitman County,Georgia,13239,222,136,328
Rabun County,Georgia,13241,1466,934,2035
Randolph County,Georgia,13243,587,371,911
Richmond County,Georgia,13245,17483,13635,21766
Rockdale County,Georgia,13247,7783,5282,10672
Schley County,Georgia,13249,310,187,468
Screven County,Georgia,13251,979,594,1462
Seminole County,Georgia,13253,655,406,979
Spalding County,Georgia,13255,4799,3199,6761
Stephens County,Georgia,13257,1841,1127,2839
Stewart County,Georgia,13259,427,262,647
Sumter County,Georgia,13261,2263,1355,3286
Talbot County,Georgia,13263,584,347,875
Taliaferro County,Georgia,13265,141,85,219
Tattnall County,Georgia,13267,1515,974,2240
Taylor County,Georgia,13269,598,371,896
Telfair County,Georgia,13271,1306,838,1840
Terrell County,Georgia,13273,710,423,1083
Thomas County,Georgia,13275,3652,2552,4986
Tift County,Georgia,13277,3196,2188,4322
Toombs County,Georgia,13279,2309,1500,3260
Towns County,Georgia,13281,802,456,1231
Treutlen County,Georgia,13283,448,296,655
Troup County,Georgia,13285,5088,3395,7305
Turner County,Georgia,13287,576,374,838
Twiggs County,Georgia,13289,647,385,993
Union County,Georgia,13291,2468,1686,3452
Upson County,Georgia,13293,1901,1177,2829
Walker County,Georgia,13295,5549,3938,7285
Walton County,Georgia,13297,6008,4283,8239
Ware County,Georgia,13299,2813,1763,4012
Warren County,Georgia,13301,434,267,648
Washington County,Georgia,13303,1599,994,2459
Wayne County,Georgia,13305,2285,1462,3281
Webster County,Georgia,13307,194,120,295
Wheeler County,Georgia,13309,558,359,815
White County,Georgia,13311,1818,1156,2804
Whitfield County,Georgia,13313,7532,5407,9878
Wilcox County,Georgia,13315,582,371,849
Wilkes County,Georgia,13317,795,510,1227
Wilkinson County,Georgia,13319,641,386,962
Worth County,Georgia,13321,1644,1073,2421
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
