Physical Inactivity; Crude; Number; Adults Aged 20+ Years; Georgia Counties; 2017
Data downloaded on 18-February-2025
County,State,CountyFIPS,Number,Lower Limit, Upper Limit
Washington County,Georgia,13303,2813,1769,4182
Wayne County,Georgia,13305,3828,2474,5465
Webster County,Georgia,13307,322,202,471
Wheeler County,Georgia,13309,969,607,1444
White County,Georgia,13311,3483,2274,5021
Whitfield County,Georgia,13313,20150,15622,24862
Wilcox County,Georgia,13315,1212,780,1735
Wilkes County,Georgia,13317,1413,930,2068
Wilkinson County,Georgia,13319,1086,673,1613
Worth County,Georgia,13321,2681,1701,3879
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
